clean_text,stars,sentiment,word_count,char_count,sent_count,avg_word_len,vader_compound,vader_pos,vader_neg,vader_neu,exclamation_count,question_count,exclamation_density,caps_ratio,unique_word_ratio,review_len_extreme
i have tried jimmy john's once before and wasn't impressed by my sandwich. after ordering it along with a group of coworkers and trying something else i must say it has raised the bar for my jimmy john's experience. still not my favorite sub place but i definitely love the convenience of delivery when i don't have time to go for lunch. the bread is a little tougher than i prefer sometimes but their avocado spread is pretty tasty!,3,Neutral,79,433,4,4.493670886075949,0.9329,0.183,0.041,0.776,1,0,0.0125,0.027649769585253458,0.7625,0
"we have been there many times i from 8pm to 11 pm. this is the worst i have ever seen for a restaurant sonic . slow, the girl at the window needed change and the guy was busy on his iphone looked at her like don't bother me. took for ever to get 2 bergers. the owner should take a good look at who is working for him. if this is the best he can do he better look at himself sad.",1,Negative,82,378,6,3.6219512195121952,0.7458,0.16,0.079,0.76,0,0,0.0,0.04415584415584416,0.7469879518072289,0
"a must go to for any meal. first off the decor is super trendy and my favorite color...purple! a great place for a date night. my friend and i stopped here after dinner and ordered desert crepes. i had the classic crepe with added strawberries heaven and she had the william tell awesome. i can't say enough about how melt in your mouth these both were. be aware, they are super sweet and worth sharing. however i found myself finishing off mine and then eating my friends too. the warm, tart apples were perfection paired with the caramel drizzle and my nutella was melted perfectly inside the yummy crepe and strawberries. complimentary water and or cucumber water is served to wash it all down but next time i'll definitely try the mimosas or one of the many sodas. nthere is a great selection of dinner crepes too that i'm dying to try!",4,Positive,152,840,11,4.532894736842105,0.9887,0.258,0.009,0.733,2,0,0.013071895424836602,0.018912529550827423,0.738562091503268,0
nothing special. probably 4 stars if you're drunk late at night. funny how that improves just about any restaurant. if you're a tourist looking to try a classic quebec poutine you should look elsewhere for the magical experience.,2,Negative,38,229,4,5.052631578947368,0.2598,0.138,0.113,0.75,0,0,0.0,0.021739130434782608,0.8974358974358975,0
"ok, so i've only been twice now but the service is amazing and better yet, the food is totally on par with my favorite thai haunt, komol, or wait for it....even better! i can't wait to keep trying more things on the menu! they have an entire separate vegetarianvegan menu to explore. i love this place!",5,Positive,56,302,4,4.410714285714286,0.9739,0.332,0.047,0.621,3,0,0.05263157894736842,0.02280130293159609,0.8596491228070176,0
"happy hour is great here at this restaurant....however you can tell they are part of a big chain working to cut costs where they can.....we tried dinner there last night....the filet was very dry for med rare ....i have had better on my own grill purchased from a local grocery.....the shrimp cocktail is supposed to be huge shrimp as an appetizer for 17.00 and these were quite small, .the kind you would find commonly anywhere. with no flavor...the single loaf of bread was cold and the outside of it was not crispy....the butter options were good though....my other half enjoyed the salmon and it was cooked perfectly...overall for the price of dinner, i would not go back....however i would do happy hour there again.....the happy hour menu is good and the prices are great.... i do want to say the staff and management are impeccable....trained well and go out of their way to insure your experience is the best it can be.....",3,Neutral,162,931,3,4.753086419753086,0.9886,0.218,0.023,0.759,0,0,0.0,0.14362272240085744,0.6993865030674846,0
"almost 10 for a ""meh"" sandwich and tiny cup of iced tea that came out of a jug....i saw them refill the ""tea"" machine. i appreciate the effort to have something healthy and organic in a mall food court, but for the price and lack of flavor i'll just go somewhere else.",1,Negative,52,268,2,4.173076923076923,-0.0644,0.072,0.057,0.871,0,0,0.0,0.01444043321299639,0.8113207547169812,0
i love this place. the food is great and super healthy. they have tons of vegan and gluten free options. its great this time of year when you can sit outside and eat.,4,Positive,33,166,4,4.0606060606060606,0.9729,0.462,0.0,0.538,0,0,0.0,0.05389221556886228,0.8235294117647058,0
"established in 1958, los compadres has been offering phoenix classic mexican food at great prices for over 50 years. here you will find the mexican food standards tacos, nachos, enchiladas, tamales, burros etc. made fresh to order. in addition, they have egg specialties, salads, charbroiled chicken, and their something different selections... they have 10 combos that include 2-3 items each for under 8 and lighter combos for under 5. los compadres is a excellent alternative to the fast food chains claiming to serve mexican food. catering services and party trays are also available. their hours are monday through saturday 1030am to 9pm and sundays 1030am to 730pm.",3,Neutral,107,670,8,5.271028037383178,0.9153,0.112,0.0,0.888,0,0,0.0,0.024926686217008796,0.7685185185185185,0
"first, i came here with a coupon from one of those entertainment books my daughter's school sells. many items were excluded including the lunch specials and the menudo. apparently, to be truly mexican you have to enjoy eating a cow's stomach in soup -- menudo. so eli m. and i vowed to return one day. ah, yes, i am not even a little mexican, but suffer from a proclivity to try unusual foods others turn up their noses at. enter groupon.nnhaving purchased a groupon that excluded the lunch specials, but not the menudo, eli m. and i, with some friends in tow, made our return. i told eli m. that menudo costing less than 7 seemed a little dubious given the extensive perpetuation process he described, but we didn't let a little thing like that deter us. as the menudo was cheaply priced, i also ordered a chorizo burrito a la carte. i was trying to max out the groupon, and soup, regardless of the contents, didn't seem that filling. eli m. doesn't eat much and was satisfied with just a medium sized bowl of menudo. in terms of taste however, he said that it was okay. he said it was too greasy, which is what our friends also said of their food. moreover, they have pepsi instead of coke. and the location is a bit out off the quick lunch radius. so, it looks like eli m. and i will max out at two visits to susie's. thanks for the menudo.",2,Negative,252,1343,16,4.333333333333333,0.9565,0.121,0.046,0.833,0,0,0.0,0.029411764705882353,0.6284584980237155,0
"the menu displayed on urban spoon must be very old. the prizes are higher, than we researched before. staff is friendly. the soups must be based on an instant brew. i ordered a wantang soup and it was terrible. i could taste the chemical taste of the instant brew. it was very bland. knowing how good a lotus stem salad usually tastes, i ordered one. again, i felt like i wasted 10. the sauce was terribly bland, too sweet and too sour at the same time. also, they used way too much celery. i was very disappointed and felt like i wasted my time and money. i felt this place was waaay to over-prized for what they offer. and i didn't feel that it tasted authentic or refreshing like vietnamese food usually tastes. the menu was just the same as in lang van. i did see asian people in the restaurant. so, it must be somewhat decent. the food doesn't have a ""restaurant feel"", but more an ""american-asian fast food feel"".they should restructure the portions and prizing. i will never return.",2,Negative,181,989,19,4.469613259668508,0.1742,0.075,0.06,0.865,0,0,0.0,0.036036036036036036,0.6538461538461539,0
"this review is based on the fact that it's in vegas. my group wanted to go here for lunch. they wanted a light lunch before the buffet we were planning to have later that day. so sonics was agreed upon with them.nni was hesitant to go to a sonics when we were at vegas. we could get this anywhere, anytime, so why now? but i agreed, we needed a light lunch and why not have it cheap while at it.nnunfortunately, it wasn't too cheap. you can't just get one of their 1 burgers cuz they're tiny and you'll still be starving afterwards. so i got the large chili cheese fries to split also.nnthe burgers... sucked. even for a dollar, they sucked. badly. the chili cheese fries... wayyyyyyyyyyyyyy overly salty. like, i was tempted to drench it in ketchup to dilute the salt. horrible. don't go to vegas for fast food, if you do, don't go here. there's an in n out a few miles away...",1,Negative,165,878,16,4.327272727272727,-0.9444,0.045,0.126,0.829,0,1,0.0,0.04988913525498891,0.6807228915662651,0
"fabulous! i cannot say how wonderful this little place was.nntucked away in the heart of downtown phoenix, the squash blossom is a little sleepy cafe that serves breakfast and lunch and as of october liquor as well. in the same corridor as the irish pub, squash blossom has the most simplistic decor and it's just right. canopies outside shade diners from the az sun and for me, the rare az rain. ni order the turkey blt with sweet potato fries. my intern ordered the backyard bacon blue burger with a veggie patty replacement. they were very cooperative with replacing the patty and each our plates came with the most delicious chocolate chip cookie that was oh so very soft and moist.nnthe waitress was very nice and attentive. the patio had a small troff of garden veggies outside so you know this place values sustainability. my co-worker ordered the spinach salad to go and when we brought it to her she inhaled it so i think the whole menu is good to go. i cannot wait to go back!",5,Positive,178,986,10,4.544943820224719,0.957,0.115,0.016,0.869,2,0,0.0111731843575419,0.03326612903225806,0.6815642458100558,0
"i've never met a chile relleno i didn't like, and the one at taqueria canonita was especially creative and interesting. the vegetarian entrees at most mexican restaurants can be dull, but not here. nnmy boyfriend and i ordered the chile relleno, served with roasted vegetables and jicama salad, and the wild mushroom enchiladas served with borracho beans and rice. the chile relleno was stuffed with a mixture of dried fruit, almonds, and cheese, and the contrast between sweet and savory was a party in my mouth. the salad was light and the orange dressing was a refreshing surprise. the enchiladas were drenched with a velvety poblano sauce, and combined with the mushrooms, the enchiladas just slid down my throat. the borracho beans were a smoky kidney beans with a hint of chili powder. oh, and don't skip the chips and fire roasted salsa it's so good that you'll want to drink it straight from the bowl.nnfor dessert, we shared the ancho brownie, garnished with pepita ice cream. this ancho infused brownie was ooey, gooey, and very fudgy. nnthe ambiance is nice for people watching, and the restaurant's location next to the canal gives the illusion that you are dining outside. it can be a bit noisy, but all in all, i'd eat here again.",5,Positive,214,1244,11,4.817757009345795,0.9699,0.131,0.037,0.831,0,0,0.0,0.01586042823156225,0.6604651162790698,0
"cute, quaint coffeehouse with delicious sandwiches, amazing yogurt concoctions. their sandwiches are stacked high and with the best cuts of meat and vegetables and what not. they make different sandwiches and menu items daily. nni happened upon this place after missing my bus stop one day, and oh boy, it's the best this side of town has to offer. and the owner has been there every time i've stopped in and is so friendly and helpful. it's rare to meet an owner who exceeds customer service expectations, but she does. nnif i lived on this side of town, and was independently wealthy, i'd go there every.single.day.nnit's more business folks and affluent types here, so if you're looking for 20-somethings on their laptops, that's not really the type that frequents curbside. nnoh, i've only had their chai lattes, so can't speak to how great the coffee is, but i will update this once i try the coffee.",4,Positive,156,905,8,4.8076923076923075,0.9647,0.148,0.036,0.815,0,0,0.0,0.016304347826086956,0.7515923566878981,0
even though the place is almost empty there are still enough people to watch. i'm going to order the all you can eat pancakes. my wife ordered wings and a house salad. apparently 7pm is the dinner hour for older charlotteans. the front of the restaurant was almost full. service was slow but there were only two servers matt tiffany. tracey was the night manager. we go there to hang out kill a few hours so slow service doesn't matter really to us anymore. the thing i really hate is the way that the food is presented. it looks nothing like it does on the menu.,3,Neutral,106,563,10,4.320754716981132,-0.9522,0.0,0.148,0.852,0,0,0.0,0.02464788732394366,0.7570093457943925,0
we ordered the spinach linguini take out... this dish was nothing but linguini and a few pieces of spinach and maybe 3 small pieces of chicken. i'm appalled the cost 13.95 of this dish considering it was only pasta. the only reason this review gets two stars is because the flavor was decent. this is our second time getting ripped off by times square! we were willing to give them a second try but regret it. we will not be back!,2,Negative,81,430,6,4.320987654320987,-0.8513,0.0,0.098,0.902,2,0,0.024390243902439025,0.05454545454545454,0.7195121951219512,0
"i'm trying to decide -- when it comes to pizza, am i a crust person or a topping person? if i am the latter, then i would say that the toppings we tried on three different pizzas were all good but could have been more plentiful. we especially liked the artichoke and olive pizza. whatever exotic cheeses the chefs put on the pizzas are terrific but are just dotted on. i left the restaurant last night feeling crusty, which is to say i love the wood-fired, slightly burned, soft-on-the-inside crust. so much so that i almost finished off the crust left on my carb-watching daughter's plate. we'll see where things fall in the great crusttopping dilemma next time i visit.",3,Neutral,120,671,7,4.6,0.9732,0.181,0.016,0.803,0,1,0.0,0.019316493313521546,0.7520661157024794,0
not a bad place to go for a little shopping. i found good deals here. good customer service.,5,Positive,18,92,3,4.166666666666667,0.7977,0.404,0.0,0.596,0,0,0.0,0.03225806451612903,0.8421052631578947,0
"we don't seem to exist here. the service was horrible. sat at the bar right in front of the bartender who was too busy cleaning glasses to acknowledge us. i'm usually rather patient about these types of things, as i know they have other tasks to accomplish, however, it was not busy at all and it wasn't like she didn't see us. she just gave us the impression that she would get around to taking our order when she felt like it...which was certainly not any time soon. it was awkwardly rude and strange behavior. if i weren't new to the area and my guest from out of town i would have thought she was an old enemy from days gone by.",2,Negative,122,632,7,4.188524590163935,-0.8812,0.053,0.136,0.811,0,0,0.0,0.0202808112324493,0.7235772357723578,0
"i came here for lunch, and for 20 it was well worth it. they had a pretty good selection of food, and everything i had was great. near the back, you will drool as you watch the cooks grill tasty meats. there was also the standard king crab legs and shrimp, even for lunch. a few things that stood out for me were the pot pies and the custom-made crepes. i think i'll have to come back here during dinner for round 2.",4,Positive,83,416,6,4.024096385542169,0.9217,0.163,0.0,0.837,0,0,0.0,0.019138755980861243,0.7619047619047619,0
"you must come hungry! there are so many choices, so best to do walk thru first to see what is on offer. nothing worse than piling lots of food on your plate you won't eat, then getting another plate to try other dishes.nmy husband doesn't eat meat, gluten, and dairy, so the chef took him for a tour to show him the vegan dishes. so nice this is offered! nthe dessert is also abundant, do a walk thru with this too. my favorite was the gelato, around 5-6 different flavors. loved the vanilla bean and coffee. ni'd come back to this buffet. for all that is offered the price is reasonable. add 15 for unlimited sparking wine, wine, and beer. i didn't choose it, but it's nice they have that option!",4,Positive,131,697,11,4.32824427480916,0.9479,0.126,0.0,0.874,3,0,0.022727272727272728,0.017094017094017096,0.7424242424242424,0
my new favorite pho spot! so glad i discovered this a few weeks ago. i may never drive to spring mountain for pho again!nnthe pho is top notch with a very flavorful delicious broth and a pretty generous serving. i tried the bun bo hue for the very first time anywhere and now i'm hooked. i usually get the crispy imperial rolls to start off then a nice steaming bowl of one of their savory soups along with a nice thai ice tea to finish things off. nnthe staff is very nice and friendly and are always very attentive. the restaurant is small but cozy and i've never had to wait for a seat so i can straight to the food! i definitely will be a regular here!,5,Positive,128,656,8,4.1328125,0.9719,0.214,0.0,0.786,4,0,0.031007751937984496,0.03328290468986384,0.6976744186046512,0
"basically, do not live here. management says they have no record of break-ins, yet i was the one who told them about 2 specifically, one being my own place. horrible management, horrible noise, horrible neighbors. yeah, the apartments are nice, but who cares about granite countertops when you can't even sleep at night?!",1,Negative,53,321,5,5.0754716981132075,0.1134,0.125,0.144,0.732,1,1,0.018518518518518517,0.024844720496894408,0.8703703703703703,0
"visited settebello yesterday for a to-go lunch order. i went with the ""settebello"" pizza 13.50 - sausage, pancetta, mushrooms and pine nuts. after ordering, walked down to rocket fizz to pick-up a few ""artisan"" sodas. returned just in time to pick up pizza and go my way.nni felt the pizza was undercooked - very slight charring on the top of the pizza crust, the mozzarella was not melted, a boatload of pine nuts, yet very light on mushroom.. still, the flavors were there - especially liked the sausage and the pancetta. i'm hoping this is simply a "" working out the kinks"" situation yet i wonder since at the time i entered the restaurant, i only saw 3 customers - what happens when there are 30 customers ???nni'll return",3,Neutral,129,726,8,4.635658914728682,0.5622,0.067,0.037,0.896,0,3,0.0,0.01876675603217158,0.7230769230769231,0
"we just love this place so much! had another delicious bbq meal yesterday. we seem to have our favorites now. he always gets a huge brisket sandwich and the green chili stew, and i always get the half sausage, new potatoes, and cream of corn. drool nnoh! we also just found out they give military discounts for active or retired!nnservice - excellent, food - wonderful, atmosphere - fun! this has become one of our favorite places.",5,Positive,76,431,7,4.684210526315789,0.9843,0.33,0.0,0.67,4,0,0.05194805194805195,0.02054794520547945,0.8311688311688312,0
"feast for the eyes, this old bank building is a cornucopia of mixed materials from glass to wood to concrete to steel to block to brick and astroturf. dining a mixed bag, but you're sure to see something you like. blinknn--best seat in thehouse is the corner by the firen--bacchi sp? ball court just like home vig locationn--hip urban feel which is difficult to find downtown.nn--great service, attentive and super friendly.n--she even caught the bartender it was hard to miss shaking the shit out of my martini, stopped him and made him start over.nn--rib eye fatty, not trimmed, and in pieces. horrible cut.n--spinach puree very interesting, but doesn't work as presented. wants to surround the dish, not be shuffled off on the siden--so too go the potatoes. gratin slightly burned and wants to be as elegant as the architectural lines of the building. redesign this plate!n--burger, although ordered medium, arrived charred but raw!!n--onion rings nothing to write home about.n--banana bread pudding rich enough to serve 4. split it, orn--hot fudge sundae. nice!nnnot many places in town which are hipster, trendy, romantic, casual and classy. nice hang out.",2,Negative,187,1161,11,5.213903743315508,0.9755,0.19,0.098,0.712,4,1,0.02127659574468085,0.02190395956192081,0.7606382978723404,0
"decent airport, large, clean and seems to have a lot of decent restaurant options. we loved blanco in the a-gate area!nni've been here 3 times now - first time was a quick run through, second was a disaster in which i almost missed my flight because of crowds and confusion about which terminal to be in and this time was relatively nice cuz of the great restaurant.. the subsequent hour plus flight delay doesn't appear to be the fault of the airport, but more the fault of us air, which i am quickly developing a healthy hatred for.",3,Neutral,98,534,3,4.459183673469388,-0.754,0.113,0.172,0.715,1,0,0.010101010101010102,0.020484171322160148,0.696969696969697,0
"papa john himself would be disappointed in the level of quality in the pizza's 3 that i received on 08032013. i placed an order online from the 1010 e desert inn rd. location for the special that they had for 3 medium 3 topping pizza's thinking that i will do something special for my wife, since she didn't eat anything at work. this was my first time i ever ate papa john's. everything was great when ordering and the delivery driver calling to let me know that she is 10 minutes away. when she arrive at our hotel at 720pm, i gave her a tip and accepted the pizza's without ever looking at them. as soon as i sat down with my wife in our hotel room, we looked at the pizza's and it looked like the pizza's were cold cheese getting firm as if it were sitting out long. i called the papa john's location and spoke with the manager around 730pm. he had offered to get new ones sent. i called back at 742pm asking the manager if we should give the old pizza's back to the driver that is coming to drop of the new pizza's, he then said that we didn't need to. so my wife and i were so hungry and waited for the pizza's to arrive. we had the opportunity to stare at the cold pizza's and realized how skimpy the toppings were and one of the pizza's looked burnt on the bottom. one pizza for example, had anchovies, chicken and onions. we couldn't even see the chicken and onions, so it looked like an anchovy pizza. i had time to take nice pictures of them. i called the papa john's location again around 832pm. i was so upset that we haven't received the pizza's yet. they said that the driver went to the wrong address and should be there shortly and that the pizza's were piping hot out of the oven. i doubt that they were piping hot, especially arriving late. at 844pm, the driver called me and said that he was outside the hotel. i told him to send the pizza's back because it was late already, one hour and 14 minutes later from the time that i called at 730pm to get the replacement pizza's. i filled out a feedback form online at the papa john's website the same night. it is already 080713 and i still haven't received a call from who ever it may concern. i am sorry, but the way that papa john talks about his business is different from what i experienced. the quality presented by his employee's do not match up to what his values are. i can't say that there were better ingredients if there were hardly any topping on the pizza's.",1,Negative,467,2438,26,4.222698072805139,0.8949,0.049,0.023,0.927,0,0,0.0,0.024857375713121434,0.4829059829059829,1
i totally agree with these positive reviews- old school vegas style that us locals sometimes forget. it warm and inviting. and live music-- ya just never know who you'll bump into. and just wanted to suggest the pizza for tasty takeout-- far better than one of the pizza chains! still quick and much better variety of toppings that are fresh not canned. and they love garlic like i love garlic!! yum mm my!,4,Positive,73,406,7,4.575342465753424,0.9815,0.332,0.021,0.648,4,0,0.05405405405405406,0.03194103194103194,0.8243243243243243,0
"this place is very spacious and the price is very reasonable. i like this storage place, because it's nearby and has easy access whenever i need it.",5,Positive,27,148,2,4.518518518518518,0.6887,0.198,0.0,0.802,0,0,0.0,0.020134228187919462,0.7857142857142857,0
the best homemade filipino food since grandmas. the staff was so friendly it's been years since i've had that kind of food so they helped me order which was so helpful .,5,Positive,32,169,2,4.3125,0.9175,0.299,0.0,0.701,0,0,0.0,0.023391812865497075,0.7878787878787878,0
lobster bisque was deliciousnlobster salad was superbncrab cakes were awesomenseabass was so butterynfilet was wonderfulntuna tartar was freshnservice was excellentnntheres a private wine cellar room for private dining. romantic and really cute spot.nnim def returning for the food!,5,Positive,38,282,2,6.447368421052632,0.7419,0.152,0.0,0.848,1,0,0.02564102564102564,0.08191126279863481,0.7948717948717948,0
"before you ask what i was smoking when i gave this friday's 4 stars, hear me out.nni came in here for a late dinner during the week. probably around 9pm. it wasn't too crowded and we got to sit down right away.nnthe service was slow, i think they were probably spread thin. but our waiter was very friendly and other servers seem to help each other out.nnthe food was pretty tasty,i may have been hungry, but never the less i thoroughly enjoyed my jack daniels steak and shrimp dinner.nnit did take a while for our food to come out which was surprising since there were not a lot of people in the restaurant, but i have no idea what the kitchen sizesituation is for that place.",4,Positive,126,677,4,4.380952380952381,0.9578,0.148,0.021,0.831,0,0,0.0,0.03333333333333333,0.7637795275590551,0
"the food is great, almost always. however, the customer service is horrid, and has been for the past two years. i lived in chicago previously, and frequented the pf changs there. the wait staff's attentiveness at that location, which is 100 times busier, was much better. for the price, pf changs should hire some better wait staff. it has turned us off of one of our favorite restaurants.",2,Negative,68,389,6,4.735294117647059,0.8555,0.165,0.045,0.791,0,0,0.0,0.03076923076923077,0.782608695652174,0
